category,description,carbohydrate,protein,fat,kilocalories,feedback,generic_category,carb_percentage,fat_percentage,protein_percentage,nutritional_score,original_category
OLIVES,"OLIVES,PICKLED,CND OR BTLD,GRN",3.8,1.0,15.3,145,approvato,fruits,9.68769917144678,87.76290630975144,2.5493945188017846,65.54843433627556,OLIVES
SHALLOTS,"SHALLOTS,RAW",16.8,2.5,0.1,72,approvato,vegetables,86.04353393085788,1.1523687580025608,12.804097311139564,73.9777706965642,SHALLOTS
RAMBUTAN,"RAMBUTAN,CND,SYRUP PK",20.9,0.7,0.2,82,approvato,fruits,94.78458049886622,2.0408163265306123,3.174603174603176,72.85007313665082,RAMBUTAN
POMEGRANATES,"POMEGRANATES,RAW",18.7,1.7,1.2,83,approvato,fruits,80.95238095238095,11.688311688311687,7.35930735930736,69.47914988472672,POMEGRANATES
ACORNS,"ACORNS,RAW",40.8,6.2,23.9,387,approvato,nutsAndSeeds,40.48623170429174,53.361448772016864,6.152319523691392,44.43047244855174,ACORNS
ACORNS,"ACORNS,DRIED",53.7,8.1,31.4,509,approvato,nutsAndSeeds,40.54360135900341,53.34088335220838,6.115515288788222,33.632159991631205,ACORNS
LIMES,"LIMES,RAW",10.5,0.7,0.2,30,approvato,fruits,90.12875536480688,3.862660944206009,6.008583690987125,77.61642063246815,LIMES
QUINCES,"QUINCES,RAW",15.3,0.4,0.1,57,approvato,fruits,96.07535321821037,1.41287284144427,2.511773940345369,75.40564670834877,QUINCES
MORTADELLA,"MORTADELLA,BEEF,PORK",3.0,16.4,25.4,311,approvato,meats,3.919007184846505,74.65708687132593,21.423905943827563,55.1963331775777,MORTADELLA
CHEESEFURTER,"CHEESEFURTER,CHS SMOKIE,PORK,BF",1.5,14.1,29.0,328,approvato,meats,1.855287569573284,80.70500927643785,17.43970315398887,51.208827116588,CHEESEFURTER
CHEESE,"CHEESE,MOZZARELLA,NON-FAT",3.5,31.7,0.0,149,approvato,dairy,9.943181818181818,0.0,90.05681818181817,82.53691388989796,CHEESE
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT,LACTOSE RED",3.2,12.4,1.0,74,approvato,dairy,17.92717086834734,12.605042016806722,69.46778711484593,77.75028411842206,CHEESE
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",2.7,12.4,1.0,72,rifiutato,dairy,15.561959654178676,12.96829971181556,71.46974063400576,77.47444436544114,CHEESE
CHEESE,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT,W/VEG",3.0,10.9,1.0,67,rifiutato,dairy,18.575851393188856,13.93188854489164,67.49226006191952,77.0363460506281,CHEESE
