id,category,description,carbohydrate,kilocalories,protein,fat,carb_percentage,protein_percentage,fat_percentage,original_category,generic_category,nutritional_score
8297,CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER FRUITANGY OH!S",87.2,392,4.9,3.5,87.22180545136283,4.901225306326581,7.876969242310578,CEREALS RTE,cereals,
8298,CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER MARSHMLLW SAFARI",84.3,396,5.8,5.0,83.17710902812038,5.722742969906266,11.10014800197336,CEREALS RTE,cereals,
8299,CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER SWT PUFFS",88.0,391,6.8,1.9,88.82159979813272,6.863487257128438,4.3149129447388335,CEREALS RTE,cereals,
8309,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY CRUNCH CORN FLAKES",87.0,385,6.8,1.9,88.7076217180729,6.933469283711445,4.358908998215651,CEREALS RTE,cereals,
8318,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SMART START ANTIOXIDANT CRL",86.0,365,7.0,1.4,89.44357774310971,7.280291211648465,3.276131045241809,CEREALS RTE,cereals,
8319,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD MINI-WHEATS,BITE SIZE",81.0,344,10.1,1.6,85.53326293558608,10.665258711721226,3.8014783526927145,CEREALS RTE,cereals,
8326,CEREALS RTE,"CEREALS RTE,KRAFT,POST MARSHMLLW ALPHA-BITS CRL",86.7,398,5.9,3.3,86.67833041739564,5.898525368657836,7.423144213946513,CEREALS RTE,cereals,
8345,CEREALS RTE,"CEREALS RTE,GENERAL MILLS,MULTI-BRAN CHEX",84.1,328,6.9,2.6,86.83531233866805,7.124419204956118,6.04026845637584,CEREALS RTE,cereals,
8346,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,COLOSSAL CRUNCH",86.6,415,4.2,5.5,83.93506178822389,4.070753574024716,11.994184637751394,CEREALS RTE,cereals,
8347,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,BERRY COLOSSAL CRUNCH",85.9,412,4.9,5.4,83.43856240893636,4.759592034968431,11.80184555609519,CEREALS RTE,cereals,
8348,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,CRISPY RICE",86.4,381,6.3,1.1,90.78014184397163,6.619385342789598,2.600472813238771,CEREALS RTE,cereals,
8349,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,TOOTIE FRUITIES",87.9,401,5.0,3.3,87.61525043608273,4.9838026414154,7.400946922501868,CEREALS RTE,cereals,
8354,CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S GROOVY GRAHAMS",86.4,372,5.4,1.6,90.56603773584906,5.660377358490567,3.7735849056603774,CEREALS RTE,cereals,
8355,CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S COCOA BUMPERS",87.6,376,5.1,1.7,90.75369075369076,5.283605283605284,3.962703962703962,CEREALS RTE,cereals,
8357,CEREALS RTE,"CEREALS RTE,QUAKER,FRUITY BRONTOSAURUS BLASTS,BAGGED CRL",89.3,376,3.8,2.5,90.45327931121804,3.84907571537098,5.69764497341099,CEREALS RTE,cereals,
8358,CEREALS RTE,"CEREALS RTE,QUAKER,CRISPY CORN PUFFS CRL",83.5,376,7.2,2.9,85.88326047827204,7.405502699922859,6.71123682180509,CEREALS RTE,cereals,
8359,CEREALS RTE,"CEREALS RTE,QUAKER,FRSTD OATS",82.0,396,6.1,6.0,80.70866141732283,6.003937007874016,13.287401574803152,CEREALS RTE,cereals,
8361,CEREALS RTE,"CEREALS RTE,QUAKER,HONEY GRAHAM BAGGED CRL",83.6,395,5.6,5.2,82.85431119920715,5.550049554013875,11.59563924677899,CEREALS RTE,cereals,
8364,CEREALS RTE,"CEREALS RTE,QUAKER,CINN CRUNCH BAGGED CRL",83.7,397,5.1,6.0,81.81818181818183,4.98533724340176,13.19648093841642,CEREALS RTE,cereals,
8374,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S,CRISPIX CINN CRUNCH",87.0,399,4.8,3.7,86.89138576779027,4.794007490636703,8.314606741573034,CEREALS RTE,cereals,
8376,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S MARSHMLLW FROOT LOOPS",90.0,394,4.0,2.4,90.54325955734406,4.024144869215292,5.432595573440643,CEREALS RTE,cereals,
8380,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S,RAISIN BRAN CRUNCH",84.9,354,6.1,1.9,89.11046969299396,6.402519023878246,4.487011283127787,CEREALS RTE,cereals,
8383,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K RED BERRIES",80.6,369,12.4,1.0,84.61942257217846,13.018372703412073,2.3622047244094486,CEREALS RTE,cereals,
8384,CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SHREDDED WHEAT MINIATURES",80.0,339,11.0,2.1,83.5727343954035,11.49125097936798,4.93601462522852,CEREALS RTE,cereals,
8388,CEREALS RTE,"CEREALS RTE,PUFFED KASHI BY KELLOGG",80.0,394,12.0,2.9,81.19766556711494,12.179649835067242,6.622684597817812,CEREALS RTE,cereals,
8389,CEREALS RTE,"CEREALS RTE,KASHI 7 WHL GRAIN HONEY PUFFS",82.5,381,10.0,3.3,82.56192144108081,10.007505629221916,7.430572929697273,CEREALS RTE,cereals,
8390,CEREALS RTE,"CEREALS RTE,KASHI GOOD FRIENDS BY KELLOGG",81.8,316,9.4,3.6,82.3766364551863,9.4662638469285,8.157099697885197,CEREALS RTE,cereals,
8394,CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S HONEY ROUNDUP",87.8,382,5.4,2.0,89.86693961105424,5.527123848515865,4.605936540429887,CEREALS RTE,cereals,
8395,CEREALS RTE,"CEREALS RTE,QUAKER,HONEY NUT OATS",84.5,385,6.0,3.6,85.6997971602434,6.085192697768763,8.21501014198783,CEREALS RTE,cereals,
8396,CEREALS RTE,"CEREALS RTE,QUAKER,HONEY CRISP CORN FLAKES",88.8,374,5.7,0.8,92.21183800623052,5.919003115264799,1.869158878504673,CEREALS RTE,cereals,
8401,CEREALS RTE,"CEREALS RTE,QUAKER,FRUITY OCEAN ADVENTURE BAGGED CRL",87.2,394,4.9,3.8,86.63686040735222,4.868355688027819,8.494783904619968,CEREALS RTE,cereals,
8408,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,APPL CINN TOASTY O'S",82.5,410,7.1,5.7,80.54674151818404,6.931901391261899,12.521357090554067,CEREALS RTE,cereals,
8409,CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,FRSTD FLAKES",90.9,387,5.0,0.4,93.90495867768594,5.165289256198347,0.9297520661157024,CEREALS RTE,cereals,
8456,CEREALS RTE,"CEREALS RTE,KELLOGG'S,FRUIT HARVEST APPL CINN",83.0,397,7.0,5.0,81.9753086419753,6.91358024691358,11.11111111111111,CEREALS RTE,cereals,
8457,CEREALS RTE,"CEREALS RTE,KELLOGG'S,FRUIT HARVEST PEACH/STRAWBERRY",87.0,368,7.0,1.2,89.96897621509824,7.238883143743537,2.792140641158221,CEREALS RTE,cereals,
8458,CEREALS RTE,"CEREALS RTE,KELLOGG'S,FRUIT HARVEST STRAWBERRY/BLUEBERRY",87.0,368,6.0,1.2,90.9090909090909,6.269592476489027,2.8213166144200623,CEREALS RTE,cereals,
8459,CEREALS RTE,"CEREALS RTE,KELLG'S,FRSTD MINI-WHTS,MPLE & BRWN SGR,BTE SZE",82.0,356,8.0,1.5,87.81793842034806,8.56760374832664,3.614457831325301,CEREALS RTE,cereals,
8461,CEREALS RTE,"CEREALS RTE,KASHI,CINNA-RAISIN CRUNCH BY KELLOGG",82.0,330,7.9,2.8,85.23908523908523,8.212058212058212,6.548856548856548,CEREALS RTE,cereals,
